"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"373","Latetree","4","horizontalnodesecology","0.484","0.002","0.337902223601557"
"374","Latetree","4","horizontalneighbor","0.474","0.00600000000000001","0.337902223601557"
"375","Latetree","5","full","0.042","0.001","1.24708996017168"
"376","Latetree","5","threequarter","0.2","0.001","1.24708996017168"
"377","Latetree","5","half","0.148","0.001","1.24708996017168"
"378","Latetree","5","positiveloss","0.048","0.001","1.24708996017168"
"379","Latetree","5","ecologyloss",NA,"0.001","1.24708996017168"
"380","Latetree","5","horizontal10","0.04","0.001","1.24708996017168"
"381","Latetree","5","horizontal10clade","0.028","0.001","1.24708996017168"
"382","Latetree","5","horizontal10ecology","0.036","0.001","1.24708996017168"
"383","Latetree","5","horizontalnodes","0.04","0.001","1.24708996017168"
"384","Latetree","5","horizontalnodesecology","0.03","0.001","1.24708996017168"
"385","Latetree","5","horizontalneighbor","0.142","0.001","1.24708996017168"
"386","Latetree","6","full","0.212","0.001","0.832486205796015"
"387","Latetree","6","threequarter","0.702","0.00800000000000001","0.832486205796015"
